DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
0.93370,0.93370,0.00138,0.00226,0.93233,0.93144,4972.40,4967.70,6100,6100,5.01551
0.94882,0.94882,-0.00111,0.00339,0.94993,0.94543,5066.30,5042.30,6200,6200,5.01452
0.96420,0.96420,-0.00034,0.00423,0.96454,0.95996,5144.20,5119.80,6300,6300,5.01489
0.97932,0.97932,-0.00098,0.00277,0.98031,0.97656,5228.30,5208.30,6400,6400,5.01397
0.99481,0.99481,-0.00020,0.00361,0.99501,0.99120,5306.70,5286.40,6500,6500,5.01491
1.01015,1.01015,-0.00070,0.00307,1.01085,1.00708,5391.20,5371.10,6600,6600,5.01510
1.02549,1.02549,-0.00008,0.00358,1.02557,1.02191,5469.70,5450.20,6700,6700,5.01527
1.04091,1.04091,-0.00055,0.00320,1.04147,1.03772,5554.50,5534.50,6800,6800,5.01583
1.05614,1.05614,0.00010,0.00398,1.05604,1.05216,5632.20,5611.50,6900,6900,5.01544
1.07149,1.07149,-0.00024,0.00283,1.07173,1.06866,5715.90,5699.50,7000,7000,5.01564
1.08685,1.08685,0.00046,0.00351,1.08639,1.08334,5794.10,5777.80,7100,7100,5.01589
1.10208,1.10208,-0.00072,0.00425,1.10280,1.09783,5881.60,5855.10,7200,7200,5.01553
1.11734,1.11734,-0.00001,0.00489,1.11735,1.11246,5959.20,5933.10,7300,7300,5.01534
1.13279,1.13279,-0.00040,0.00468,1.13319,1.12811,6043.70,6016.60,7400,7400,5.01598
1.14812,1.14812,0.00049,0.00462,1.14763,1.14351,6120.70,6098.70,7500,7500,5.01608
1.16353,1.16353,0.00000,0.00429,1.16353,1.15924,6205.50,6182.60,7600,7600,5.01651
1.17876,1.17876,0.00042,0.00451,1.17834,1.17426,6284.50,6262.70,7700,7700,5.01617
1.19414,1.19414,0.00014,0.00425,1.19400,1.18989,6368.00,6346.10,7800,7800,5.01647
1.20950,1.20950,0.00069,0.00496,1.20881,1.20454,6447.00,6424.20,7900,7900,5.01667
1.22479,1.22479,0.00024,0.00375,1.22454,1.22104,6530.90,6512.20,8000,8000,5.01658
1.24005,1.24005,0.00071,0.00427,1.23934,1.23577,6609.80,6590.80,8100,8100,5.01638
1.25508,1.25508,-0.00219,0.00261,1.25726,1.25246,6705.40,6679.80,8200,8200,5.01525
1.27047,1.27047,-0.00138,0.00359,1.27185,1.26688,6783.20,6756.70,8300,8300,5.01561
1.28570,1.28570,-0.00198,0.00293,1.28768,1.28276,6867.60,6841.40,8400,8400,5.01529
1.30097,1.30097,-0.00122,0.00291,1.30219,1.29806,6945.00,6923.00,8500,8500,5.01516
1.31639,1.31639,-0.00170,0.00250,1.31809,1.31389,7029.80,7007.40,8600,8600,5.01559
1.33175,1.33175,-0.00085,0.00339,1.33260,1.32836,7107.20,7084.60,8700,8700,5.01579
1.34696,1.34696,-0.00169,0.00247,1.34865,1.34449,7192.80,7170.60,8800,8800,5.01542
