DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
4.37433,4.37433,0.00674,0.00777,4.36759,4.36656,23293.80,23288.30,28600,28600,5.01167
4.38739,4.38739,0.00571,0.00659,4.38169,4.38081,23369.00,23364.30,28700,28700,5.00912
4.40327,4.40327,0.00516,0.00612,4.39811,4.39716,23456.60,23451.50,28800,28800,5.00979
4.41831,4.41831,0.00603,0.00711,4.41229,4.41120,23532.20,23526.40,28900,28900,5.00951
4.43367,4.43367,0.00559,0.00683,4.42808,4.42684,23616.40,23609.80,29000,29000,5.00959
4.44891,4.44891,0.00611,0.00746,4.44279,4.44144,23694.90,23687.70,29100,29100,5.00953
4.46413,4.46413,0.00596,0.00596,4.45817,4.45817,23776.90,23776.90,29200,29200,5.00946
4.47940,4.47940,0.00685,0.00706,4.47255,4.47234,23853.60,23852.50,29300,29300,5.00944
4.49521,4.49521,0.00668,0.00708,4.48853,4.48813,23938.80,23936.70,29400,29400,5.01002
4.50982,4.50982,0.00686,0.00697,4.50296,4.50285,24015.80,24015.20,29500,29500,5.00927
4.52535,4.52535,0.00604,0.00637,4.51931,4.51897,24103.00,24101.20,29600,29600,5.00953
4.53916,4.53916,0.00286,0.00436,4.53630,4.53480,24193.60,24185.60,29700,29700,5.00790
4.55555,4.55555,0.00386,0.00555,4.55169,4.55001,24275.70,24266.70,29800,29800,5.00912
4.57077,4.57077,0.00430,0.00608,4.56647,4.56469,24354.50,24345.00,29900,29900,5.00904
4.58585,4.58585,0.00371,0.00539,4.58214,4.58046,24438.10,24429.10,30000,30000,5.00882
4.60143,4.60143,0.00429,0.00599,4.59714,4.59544,24518.10,24509.00,30100,30100,5.00914
4.61680,4.61680,0.00427,0.00622,4.61254,4.61059,24600.20,24589.80,30200,30200,5.00923
4.63148,4.63148,0.00464,0.00552,4.62684,4.62596,24676.50,24671.80,30300,30300,5.00857
4.64720,4.64720,0.00392,0.00491,4.64329,4.64229,24764.20,24758.90,30400,30400,5.00904
4.66233,4.66233,0.00453,0.00547,4.65780,4.65686,24841.60,24836.60,30500,30500,5.00887
4.67832,4.67832,0.00470,0.00552,4.67362,4.67280,24926.00,24921.60,30600,30600,5.00962
4.69315,4.69315,0.00518,0.00631,4.68797,4.68684,25002.50,24996.50,30700,30700,5.00914
4.70793,4.70793,0.00503,0.00464,4.70289,4.70329,25082.10,25084.20,30800,30800,5.00859
4.72320,4.72320,0.00566,0.00534,4.71754,4.71786,25160.20,25161.90,30900,30900,5.00857
4.73791,4.73791,0.00451,0.00425,4.73340,4.73366,25244.80,25246.20,31000,31000,5.00798
4.75357,4.75357,0.00598,0.00555,4.74759,4.74803,25320.50,25322.80,31100,31100,5.00837
4.76986,4.76986,0.00571,0.00561,4.76415,4.76424,25408.80,25409.30,31200,31200,5.00942
4.78470,4.78470,0.00643,0.00498,4.77827,4.77971,25484.10,25491.80,31300,31300,5.00895
4.80029,4.80029,0.00623,0.00528,4.79406,4.79501,25568.30,25573.40,31400,31400,5.00927
4.81592,4.81592,0.00722,0.00611,4.80870,4.80981,25646.40,25652.30,31500,31500,5.00962
4.83112,4.83112,0.00689,0.00586,4.82422,4.82526,25729.20,25734.70,31600,31600,5.00953
4.84633,4.84633,0.00703,0.00636,4.83930,4.83997,25809.60,25813.20,31700,31700,5.00946
4.86186,4.86186,0.00489,0.00503,4.85696,4.85683,25903.80,25903.10,31800,31800,5.00970
4.87742,4.87742,0.00534,0.00581,4.87208,4.87161,25984.40,25981.90,31900,31900,5.00998
4.89298,4.89298,0.00484,0.00540,4.88814,4.88758,26070.10,26067.10,32000,32000,5.01026
